Lease Code,Customer Code,Customer Name,Tenant Name,Property Code,Property Address,State,SLB Flag,Lease Status
"t0000469","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw1","986 Rosedale Dr ","GA","Yes","Current"
"t0000471","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw2","922 Mountain Ind Dr                           ","GA","Yes","Current"
"t0000470","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw3","899 Mountain Ind Dr","GA","Yes","Current"
"t0000474","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw4","3275 Florence Rd, Bldg 300","GA","Yes","Current"
"t0000473","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw5","3275 Florence Rd, Bldg 200                      ","GA","Yes","Current"
"t0000472","c0000002    ","Shaw Stainless LLC","Shaw Stainless LLC","xgashaw6","3275 Florence Rd, Bldg 100                      ","GA","Yes","Current"
"t0000711","c0000003    ","APCO Graphics Inc","APCO Graphics Inc","xga3350h","3350 Hamilton Boulevard SW","GA","Yes","Current"
"t0000712","c0000003    ","APCO Graphics Inc","APCO Graphics Inc","xga3350h","3350 Hamilton Boulevard SW","GA","Yes","Past"
"t0000219","c0000004    ","11 Below Brewing Company, LP","11 Below Brewing Company, LP","tx4se001","6810-6838 Bourgeois Rd.","TX",,"Current"
"t0000935","c0000005    ","1800NOFAULT LLC","1800NOFAULT LLC","gacre100","100 Crescent Center Pkwy","GA",,"Current"
"t0000418","c0000006    ","4 US & Company LLC","4 US & Company LLC","gacom33 ","1235 Commerce Rd","GA",,"Current"
"t0000099","c0000007    ","4D Marketing and Business Solutions Firm Corp.","4D Marketing and Business Solutions Firm Corp.","tncha104","3725 Champion Hills","TN",,"Current"
"t0000762","c0000008    ","4-Star Air, Hydraulics, Industrial Hose & Supply, Inc.","4-Star Air, Hydraulics, Industrial Hose & Supply, Inc.","xtx10704","10704 - 10710 Composite Drive ","TX","Yes","Current"
"t0000299","c0000009    ","901 Cash Express, LLC","901 Cash Express, LLC","tnpop107","6263 Poplar","TN",,"Current"
"t0000848","c0000010    ","911 Safety Equipment LLC","911 Safety Equipment LLC","3pa00001","9 S. Forrest Avenue","PA",,"Current"
"t0001240","c0000011    ","American Builders & Contractor Supply Co. TN","American Builders & Contractors Supply Co.,Inc.","3tn00001","3338 Democrat Road","TN",,"Future"
"t0001187","c0000011    ","American Builders & Contractor Supply Co. TN","AMERICAN BUILDERS & CONTRACTORS SUPPLY CO., INC.","3tn00001","3338 Democrat Road","TN",,"Current"
"t0000865","c0000011    ","American Builders & Contractor Supply Co. TN","American Builders & Contractor Supply Co., Inc.","3tn00002","3298 Democrat Road","TN",,"Current"
"t0000919","c0000013    ","American Builders & Contractor Supply Co. OH","American Builders & Contractors Supply Co.","3oh00001","2098 Integrity Drive N","OH",,"Past"
