hmy naics,naics code,naics desc
109,1141,Fishing
110,11411,Fishing
111,114111,Finfish Fishing
112,114112,Shellfish Fishing
113,114119,Other Marine Fishing
114,1142,Hunting and Trapping
115,11421,Hunting and Trapping
116,114210,Hunting and Trapping
117,115,Support Activities for Agriculture and Forestry
118,1151,Support Activities for Crop Production
119,11511,Support Activities for Crop Production
120,115111,Cotton Ginning
121,115112,"Soil Preparation, Planting, and Cultivating"
122,115113,"Crop Harvesting, Primarily by Machine"
123,115114,Postharvest Crop Activities (except Cotton Ginning)
124,115115,Farm Labor Contractors and Crew Leaders
125,115116,Farm Management Services
126,1152,Support Activities for Animal Production
127,11521,Support Activities for Animal Production
128,115210,Support Activities for Animal Production
129,1153,Support Activities for Forestry
130,11531,Support Activities for Forestry
131,115310,Support Activities for Forestry
132,21,"Mining, Quarrying, and Oil and Gas Extraction"
133,211,Oil and Gas Extraction
134,2111,Oil and Gas Extraction
135,21112,Crude Petroleum Extraction
136,211120,Crude Petroleum Extraction
137,21113,Natural Gas Extraction
138,211130,Natural Gas Extraction
139,212,Mining (except Oil and Gas)
140,2121,Coal Mining
141,21211,Coal Mining
142,212111,Bituminous Coal and Lignite Surface Mining
143,212112,Bituminous Coal Underground Mining
144,212113,Anthracite Mining
145,2122,Metal Ore Mining
146,21221,Iron Ore Mining
147,212210,Iron Ore Mining
148,21222,Gold Ore and Silver Ore Mining
149,212221,Gold Ore Mining
150,212222,Silver Ore Mining
151,21223,"Copper, Nickel, Lead, and Zinc Mining"
152,212230,"Copper, Nickel, Lead, and Zinc Mining"
153,21229,Other Metal Ore Mining
154,212291,Uranium-Radium-Vanadium Ore Mining
155,212299,All Other Metal Ore Mining
156,2123,Nonmetallic Mineral Mining and Quarrying
157,21231,Stone Mining and Quarrying
158,212311,Dimension Stone Mining and Quarrying
159,212312,Crushed and Broken Limestone Mining and Quarrying
160,212313,Crushed and Broken Granite Mining and Quarrying
161,212319,Other Crushed and Broken Stone Mining and Quarrying
162,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
163,212321,Construction Sand and Gravel Mining
164,212322,Industrial Sand Mining
165,212324,Kaolin and Ball Clay Mining
166,212325,Clay and Ceramic and Refractory Minerals Mining
167,21239,Other Nonmetallic Mineral Mining and Quarrying
168,212391,"Potash, Soda, and Borate Mineral Mining"
169,212392,Phosphate Rock Mining
170,212393,Other Chemical and Fertilizer Mineral Mining
171,212399,All Other Nonmetallic Mineral Mining
172,213,Support Activities for Mining
173,2131,Support Activities for Mining
174,21311,Support Activities for Mining
175,213111,Drilling Oil and Gas Wells
176,213112,Support Activities for Oil and Gas Operations
177,213113,Support Activities for Coal Mining
178,213114,Support Activities for Metal Mining
179,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
180,22,Utilities
181,221,Utilities
182,2211,"Electric Power Generation, Transmission and Distribution"
183,22111,Electric Power Generation
184,221111,Hydroelectric Power Generation
185,221112,Fossil Fuel Electric Power Generation
186,221113,Nuclear Electric Power Generation
187,221114,Solar Electric Power Generation
188,221115,Wind Electric Power Generation
189,221116,Geothermal Electric Power Generation
190,221117,Biomass Electric Power Generation
191,221118,Other Electric Power Generation
192,22112,"Electric Power Transmission, Control, and Distribution"
193,221121,Electric Bulk Power Transmission and Control
194,221122,Electric Power Distribution
195,2212,Natural Gas Distribution
196,22121,Natural Gas Distribution
197,221210,Natural Gas Distribution
198,2213,"Water, Sewage and Other Systems"
199,22131,Water Supply and Irrigation Systems
200,221310,Water Supply and Irrigation Systems
201,22132,Sewage Treatment Facilities
202,221320,Sewage Treatment Facilities
203,22133,Steam and Air-Conditioning Supply
204,221330,Steam and Air-Conditioning Supply
205,23,Construction
206,236,Construction of Buildings
207,2361,Residential Building Construction
208,23611,Residential Building Construction
209,236115,New Single-Family Housing Construction (except For-Sale Builders)
210,236116,New Multifamily Housing Construction (except For-Sale Builders)
211,236117,New Housing For-Sale Builders
212,236118,Residential Remodelers
213,2362,Nonresidential Building Construction
214,23621,Industrial Building Construction
215,236210,Industrial Building Construction
216,23622,Commercial and Institutional Building Construction
217,236220,Commercial and Institutional Building Construction
218,237,Heavy and Civil Engineering Construction
219,2371,Utility System Construction
220,23711,Water and Sewer Line and Related Structures Construction
221,237110,Water and Sewer Line and Related Structures Construction
222,23712,Oil and Gas Pipeline and Related Structures Construction
223,237120,Oil and Gas Pipeline and Related Structures Construction
224,23713,Power and Communication Line and Related Structures Construction
225,237130,Power and Communication Line and Related Structures Construction
226,2372,Land Subdivision
227,23721,Land Subdivision
228,237210,Land Subdivision
229,2373,"Highway, Street, and Bridge Construction"
230,23731,"Highway, Street, and Bridge Construction"
231,237310,"Highway, Street, and Bridge Construction"
232,2379,Other Heavy and Civil Engineering Construction
233,23799,Other Heavy and Civil Engineering Construction
234,237990,Other Heavy and Civil Engineering Construction
235,238,Specialty Trade Contractors
236,2381,"Foundation, Structure, and Building Exterior Contractors"
237,23811,Poured Concrete Foundation and Structure Contractors
238,238110,Poured Concrete Foundation and Structure Contractors
239,23812,Structural Steel and Precast Concrete Contractors
240,238120,Structural Steel and Precast Concrete Contractors
241,23813,Framing Contractors
242,238130,Framing Contractors
243,23814,Masonry Contractors
244,238140,Masonry Contractors
245,23815,Glass and Glazing Contractors
246,238150,Glass and Glazing Contractors
247,23816,Roofing Contractors
248,238160,Roofing Contractors
249,23817,Siding Contractors
250,238170,Siding Contractors
251,23819,"Other Foundation, Structure, and Building Exterior Contractors"
252,238190,"Other Foundation, Structure, and Building Exterior Contractors"
253,2382,Building Equipment Contractors
254,23821,Electrical Contractors and Other Wiring Installation Contractors
255,238210,Electrical Contractors and Other Wiring Installation Contractors
256,23822,"Plumbing, Heating, and Air-Conditioning Contractors"
257,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
258,23829,Other Building Equipment Contractors
259,238290,Other Building Equipment Contractors
260,2383,Building Finishing Contractors
261,23831,Drywall and Insulation Contractors
262,238310,Drywall and Insulation Contractors
263,23832,Painting and Wall Covering Contractors
264,238320,Painting and Wall Covering Contractors
265,23833,Flooring Contractors
266,238330,Flooring Contractors
267,23834,Tile and Terrazzo Contractors
268,238340,Tile and Terrazzo Contractors
269,23835,Finish Carpentry Contractors
270,238350,Finish Carpentry Contractors
271,23839,Other Building Finishing Contractors
272,238390,Other Building Finishing Contractors
273,2389,Other Specialty Trade Contractors
274,23891,Site Preparation Contractors
275,238910,Site Preparation Contractors
276,23899,All Other Specialty Trade Contractors
277,238990,All Other Specialty Trade Contractors
278,31,Manufacturing
279,32,Manufacturing
280,33,Manufacturing
281,311,Food Manufacturing
282,3111,Animal Food Manufacturing
283,31111,Animal Food Manufacturing
284,311111,Dog and Cat Food Manufacturing
285,311119,Other Animal Food Manufacturing
286,3112,Grain and Oilseed Milling
287,31121,Flour Milling and Malt Manufacturing
288,311211,Flour Milling
289,311212,Rice Milling
290,311213,Malt Manufacturing
291,31122,Starch and Vegetable Fats and Oils Manufacturing
292,311221,Wet Corn Milling
293,311224,Soybean and Other Oilseed Processing
294,311225,Fats and Oils Refining and Blending
295,31123,Breakfast Cereal Manufacturing
296,311230,Breakfast Cereal Manufacturing
297,3113,Sugar and Confectionery Product Manufacturing
298,31131,Sugar Manufacturing
299,311313,Beet Sugar Manufacturing
300,311314,Cane Sugar Manufacturing
301,31134,Nonchocolate Confectionery Manufacturing
302,311340,Nonchocolate Confectionery Manufacturing
303,31135,Chocolate and Confectionery Manufacturing
304,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
305,311352,Confectionery Manufacturing from Purchased Chocolate
306,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing
307,31141,Frozen Food Manufacturing
308,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
309,311412,Frozen Specialty Food Manufacturing
310,31142,"Fruit and Vegetable Canning, Pickling, and Drying"
311,311421,Fruit and Vegetable Canning
312,311422,Specialty Canning
313,311423,Dried and Dehydrated Food Manufacturing
314,3115,Dairy Product Manufacturing
315,31151,Dairy Product (except Frozen) Manufacturing
316,311511,Fluid Milk Manufacturing
317,311512,Creamery Butter Manufacturing
318,311513,Cheese Manufacturing
319,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
320,31152,Ice Cream and Frozen Dessert Manufacturing
321,311520,Ice Cream and Frozen Dessert Manufacturing
322,3116,Animal Slaughtering and Processing
323,31161,Animal Slaughtering and Processing
324,311611,Animal (except Poultry) Slaughtering
325,311612,Meat Processed from Carcasses
326,311613,Rendering and Meat Byproduct Processing
327,311615,Poultry Processing
328,3117,Seafood Product Preparation and Packaging
329,31171,Seafood Product Preparation and Packaging
330,311710,Seafood Product Preparation and Packaging
331,3118,Bakeries and Tortilla Manufacturing
332,31181,Bread and Bakery Product Manufacturing
333,311811,Retail Bakeries
334,311812,Commercial Bakeries
335,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
336,31182,"Cookie, Cracker, and Pasta Manufacturing"
337,311821,Cookie and Cracker Manufacturing
338,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
339,31183,Tortilla Manufacturing
340,311830,Tortilla Manufacturing
341,3119,Other Food Manufacturing
342,31191,Snack Food Manufacturing
343,311911,Roasted Nuts and Peanut Butter Manufacturing
344,311919,Other Snack Food Manufacturing
345,31192,Coffee and Tea Manufacturing
346,311920,Coffee and Tea Manufacturing
347,31193,Flavoring Syrup and Concentrate Manufacturing
348,311930,Flavoring Syrup and Concentrate Manufacturing
349,31194,Seasoning and Dressing Manufacturing
350,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
351,311942,Spice and Extract Manufacturing
352,31199,All Other Food Manufacturing
353,311991,Perishable Prepared Food Manufacturing
354,311999,All Other Miscellaneous Food Manufacturing
355,312,Beverage and Tobacco Product Manufacturing
356,3121,Beverage Manufacturing
357,31211,Soft Drink and Ice Manufacturing
358,312111,Soft Drink Manufacturing
359,312112,Bottled Water Manufacturing
360,312113,Ice Manufacturing
361,31212,Breweries
362,312120,Breweries
363,31213,Wineries
364,312130,Wineries
365,31214,Distilleries
366,312140,Distilleries
367,3122,Tobacco Manufacturing
368,31223,Tobacco Manufacturing
369,312230,Tobacco Manufacturing
370,313,Textile Mills
371,3131,"Fiber, Yarn, and Thread Mills"
372,31311,"Fiber, Yarn, and Thread Mills"
373,313110,"Fiber, Yarn, and Thread Mills"
374,3132,Fabric Mills
375,31321,Broadwoven Fabric Mills
376,313210,Broadwoven Fabric Mills
377,31322,Narrow Fabric Mills and Schiffli Machine Embroidery
378,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
379,31323,Nonwoven Fabric Mills
380,313230,Nonwoven Fabric Mills
381,31324,Knit Fabric Mills
382,313240,Knit Fabric Mills
383,3133,Textile and Fabric Finishing and Fabric Coating Mills
384,31331,Textile and Fabric Finishing Mills
385,313310,Textile and Fabric Finishing Mills
386,31332,Fabric Coating Mills
387,313320,Fabric Coating Mills
388,314,Textile Product Mills
389,3141,Textile Furnishings Mills
390,31411,Carpet and Rug Mills
391,314110,Carpet and Rug Mills
392,31412,Curtain and Linen Mills
393,314120,Curtain and Linen Mills
394,3149,Other Textile Product Mills
395,31491,Textile Bag and Canvas Mills
396,314910,Textile Bag and Canvas Mills
397,31499,All Other Textile Product Mills
398,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
399,314999,All Other Miscellaneous Textile Product Mills
400,315,Apparel Manufacturing
401,3151,Apparel Knitting Mills
402,31511,Hosiery and Sock Mills
403,315110,Hosiery and Sock Mills
404,31519,Other Apparel Knitting Mills
405,315190,Other Apparel Knitting Mills
406,3152,Cut and Sew Apparel Manufacturing
407,31521,Cut and Sew Apparel Contractors
408,315210,Cut and Sew Apparel Contractors
409,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing
410,315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
411,31524,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
412,315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
413,31528,Other Cut and Sew Apparel Manufacturing
414,315280,Other Cut and Sew Apparel Manufacturing
415,3159,Apparel Accessories and Other Apparel Manufacturing
416,31599,Apparel Accessories and Other Apparel Manufacturing
417,315990,Apparel Accessories and Other Apparel Manufacturing
418,316,Leather and Allied Product Manufacturing
419,3161,Leather and Hide Tanning and Finishing
420,31611,Leather and Hide Tanning and Finishing
421,316110,Leather and Hide Tanning and Finishing
422,3162,Footwear Manufacturing
423,31621,Footwear Manufacturing
424,316210,Footwear Manufacturing
425,3169,Other Leather and Allied Product Manufacturing
426,31699,Other Leather and Allied Product Manufacturing
427,316992,Women's Handbag and Purse Manufacturing
428,316998,All Other Leather Good and Allied Product Manufacturing
429,321,Wood Product Manufacturing
430,3211,Sawmills and Wood Preservation
431,32111,Sawmills and Wood Preservation
432,321113,Sawmills
433,321114,Wood Preservation
434,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
435,32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
436,321211,Hardwood Veneer and Plywood Manufacturing
437,321212,Softwood Veneer and Plywood Manufacturing
438,321213,Engineered Wood Member (except Truss) Manufacturing
439,321214,Truss Manufacturing
440,321219,Reconstituted Wood Product Manufacturing
441,3219,Other Wood Product Manufacturing
442,32191,Millwork
443,321911,Wood Window and Door Manufacturing
444,321912,"Cut Stock, Resawing Lumber, and Planing"
445,321918,Other Millwork (including Flooring)
446,32192,Wood Container and Pallet Manufacturing
447,321920,Wood Container and Pallet Manufacturing
448,32199,All Other Wood Product Manufacturing
449,321991,Manufactured Home (Mobile Home) Manufacturing
450,321992,Prefabricated Wood Building Manufacturing
451,321999,All Other Miscellaneous Wood Product Manufacturing
452,322,Paper Manufacturing
453,3221,"Pulp, Paper, and Paperboard Mills"
454,32211,Pulp Mills
455,322110,Pulp Mills
456,32212,Paper Mills
457,322121,Paper (except Newsprint) Mills
458,322122,Newsprint Mills
459,32213,Paperboard Mills
460,322130,Paperboard Mills
461,3222,Converted Paper Product Manufacturing
462,32221,Paperboard Container Manufacturing
463,322211,Corrugated and Solid Fiber Box Manufacturing
464,322212,Folding Paperboard Box Manufacturing
465,322219,Other Paperboard Container Manufacturing
466,32222,Paper Bag and Coated and Treated Paper Manufacturing
467,322220,Paper Bag and Coated and Treated Paper Manufacturing
468,32223,Stationery Product Manufacturing
469,322230,Stationery Product Manufacturing
470,32229,Other Converted Paper Product Manufacturing
471,322291,Sanitary Paper Product Manufacturing
472,322299,All Other Converted Paper Product Manufacturing
473,323,Printing and Related Support Activities
474,3231,Printing and Related Support Activities
475,32311,Printing
476,323111,Commercial Printing (except Screen and Books)
477,323113,Commercial Screen Printing
478,323117,Books Printing
479,32312,Support Activities for Printing
480,323120,Support Activities for Printing
481,324,Petroleum and Coal Products Manufacturing
482,3241,Petroleum and Coal Products Manufacturing
483,32411,Petroleum Refineries
484,324110,Petroleum Refineries
485,32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
486,324121,Asphalt Paving Mixture and Block Manufacturing
487,324122,Asphalt Shingle and Coating Materials Manufacturing
488,32419,Other Petroleum and Coal Products Manufacturing
489,324191,Petroleum Lubricating Oil and Grease Manufacturing
490,324199,All Other Petroleum and Coal Products Manufacturing
491,325,Chemical Manufacturing
492,3251,Basic Chemical Manufacturing
493,32511,Petrochemical Manufacturing
494,325110,Petrochemical Manufacturing
495,32512,Industrial Gas Manufacturing
496,325120,Industrial Gas Manufacturing
497,32513,Synthetic Dye and Pigment Manufacturing
498,325130,Synthetic Dye and Pigment Manufacturing
499,32518,Other Basic Inorganic Chemical Manufacturing
500,325180,Other Basic Inorganic Chemical Manufacturing
501,32519,Other Basic Organic Chemical Manufacturing
502,325193,Ethyl Alcohol Manufacturing
503,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
504,325199,All Other Basic Organic Chemical Manufacturing
505,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manuf"
506,32521,Resin and Synthetic Rubber Manufacturing
507,325211,Plastics Material and Resin Manufacturing
508,325212,Synthetic Rubber Manufacturing
509,32522,Artificial and Synthetic Fibers and Filaments Manufacturing
510,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
511,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing"
512,32531,Fertilizer Manufacturing
513,325311,Nitrogenous Fertilizer Manufacturing
514,325312,Phosphatic Fertilizer Manufacturing
515,325314,Fertilizer (Mixing Only) Manufacturing
516,32532,Pesticide and Other Agricultural Chemical Manufacturing
517,325320,Pesticide and Other Agricultural Chemical Manufacturing
518,3254,Pharmaceutical and Medicine Manufacturing
519,32541,Pharmaceutical and Medicine Manufacturing
520,325411,Medicinal and Botanical Manufacturing
521,325412,Pharmaceutical Preparation Manufacturing
522,325413,In-Vitro Diagnostic Substance Manufacturing
523,325414,Biological Product (except Diagnostic) Manufacturing
524,3255,"Paint, Coating, and Adhesive Manufacturing"
525,32551,Paint and Coating Manufacturing
526,325510,Paint and Coating Manufacturing
527,32552,Adhesive Manufacturing
528,325520,Adhesive Manufacturing
529,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
530,32561,Soap and Cleaning Compound Manufacturing
531,325611,Soap and Other Detergent Manufacturing
532,325612,Polish and Other Sanitation Good Manufacturing
533,325613,Surface Active Agent Manufacturing
534,32562,Toilet Preparation Manufacturing
535,325620,Toilet Preparation Manufacturing
536,3259,Other Chemical Product and Preparation Manufacturing
537,32591,Printing Ink Manufacturing
538,325910,Printing Ink Manufacturing
539,32592,Explosives Manufacturing
540,325920,Explosives Manufacturing
541,32599,All Other Chemical Product and Preparation Manufacturing
542,325991,Custom Compounding of Purchased Resins
543,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
544,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
545,326,Plastics and Rubber Products Manufacturing
546,3261,Plastics Product Manufacturing
547,32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
548,326111,Plastics Bag and Pouch Manufacturing
549,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
550,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
551,32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing"
552,326121,Unlaminated Plastics Profile Shape Manufacturing
553,326122,Plastics Pipe and Pipe Fitting Manufacturing
554,32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
555,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
556,32614,Polystyrene Foam Product Manufacturing
557,326140,Polystyrene Foam Product Manufacturing
558,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing
559,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
560,32616,Plastics Bottle Manufacturing
561,326160,Plastics Bottle Manufacturing
562,32619,Other Plastics Product Manufacturing
563,326191,Plastics Plumbing Fixture Manufacturing
564,326199,All Other Plastics Product Manufacturing
565,3262,Rubber Product Manufacturing
566,32621,Tire Manufacturing
567,326211,Tire Manufacturing (except Retreading)
568,326212,Tire Retreading
569,32622,Rubber and Plastics Hoses and Belting Manufacturing
570,326220,Rubber and Plastics Hoses and Belting Manufacturing
571,32629,Other Rubber Product Manufacturing
572,326291,Rubber Product Manufacturing for Mechanical Use
573,326299,All Other Rubber Product Manufacturing
574,327,Nonmetallic Mineral Product Manufacturing
575,3271,Clay Product and Refractory Manufacturing
576,32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
577,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
578,32712,Clay Building Material and Refractories Manufacturing
579,327120,Clay Building Material and Refractories Manufacturing
580,3272,Glass and Glass Product Manufacturing
581,32721,Glass and Glass Product Manufacturing
582,327211,Flat Glass Manufacturing
583,327212,Other Pressed and Blown Glass and Glassware Manufacturing
584,327213,Glass Container Manufacturing
585,327215,Glass Product Manufacturing Made of Purchased Glass
586,3273,Cement and Concrete Product Manufacturing
587,32731,Cement Manufacturing
588,327310,Cement Manufacturing
589,32732,Ready-Mix Concrete Manufacturing
590,327320,Ready-Mix Concrete Manufacturing
591,32733,"Concrete Pipe, Brick, and Block Manufacturing"
592,327331,Concrete Block and Brick Manufacturing
593,327332,Concrete Pipe Manufacturing
594,32739,Other Concrete Product Manufacturing
595,327390,Other Concrete Product Manufacturing
596,3274,Lime and Gypsum Product Manufacturing
597,32741,Lime Manufacturing
598,327410,Lime Manufacturing
599,32742,Gypsum Product Manufacturing
600,327420,Gypsum Product Manufacturing
601,3279,Other Nonmetallic Mineral Product Manufacturing
602,32791,Abrasive Product Manufacturing
603,327910,Abrasive Product Manufacturing
604,32799,All Other Nonmetallic Mineral Product Manufacturing
605,327991,Cut Stone and Stone Product Manufacturing
606,327992,Ground or Treated Mineral and Earth Manufacturing
607,327993,Mineral Wool Manufacturing
608,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
609,331,Primary Metal Manufacturing
610,3311,Iron and Steel Mills and Ferroalloy Manufacturing
611,33111,Iron and Steel Mills and Ferroalloy Manufacturing
612,331110,Iron and Steel Mills and Ferroalloy Manufacturing
613,3312,Steel Product Manufacturing from Purchased Steel
614,33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
615,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
616,33122,Rolling and Drawing of Purchased Steel
617,331221,Rolled Steel Shape Manufacturing
618,331222,Steel Wire Drawing
619,3313,Alumina and Aluminum Production and Processing
620,33131,Alumina and Aluminum Production and Processing
621,331313,Alumina Refining and Primary Aluminum Production
622,331314,Secondary Smelting and Alloying of Aluminum
623,331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
624,331318,"Other Aluminum Rolling, Drawing, and Extruding"
625,3314,Nonferrous Metal (except Aluminum) Production and Processing
626,33141,Nonferrous Metal (except Aluminum) Smelting and Refining
627,331410,Nonferrous Metal (except Aluminum) Smelting and Refining
628,33142,"Copper Rolling, Drawing, Extruding, and Alloying"
629,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
630,33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and A"
631,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
632,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper an"
633,3315,Foundries
634,33151,Ferrous Metal Foundries
635,331511,Iron Foundries
636,331512,Steel Investment Foundries
637,331513,Steel Foundries (except Investment)
638,33152,Nonferrous Metal Foundries
639,331523,Nonferrous Metal Die-Casting Foundries
640,331524,Aluminum Foundries (except Die-Casting)
641,331529,Other Nonferrous Metal Foundries (except Die-Casting)
642,332,Fabricated Metal Product Manufacturing
643,3321,Forging and Stamping
644,33211,Forging and Stamping
645,332111,Iron and Steel Forging
646,332112,Nonferrous Forging
647,332114,Custom Roll Forming
648,332117,Powder Metallurgy Part Manufacturing
649,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
650,3322,Cutlery and Handtool Manufacturing
651,33221,Cutlery and Handtool Manufacturing
652,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufac"
653,332216,Saw Blade and Handtool Manufacturing
654,3323,Architectural and Structural Metals Manufacturing
655,33231,Plate Work and Fabricated Structural Product Manufacturing
656,332311,Prefabricated Metal Building and Component Manufacturing
657,332312,Fabricated Structural Metal Manufacturing
658,332313,Plate Work Manufacturing
659,33232,Ornamental and Architectural Metal Products Manufacturing
660,332321,Metal Window and Door Manufacturing
661,332322,Sheet Metal Work Manufacturing
662,332323,Ornamental and Architectural Metal Work Manufacturing
663,3324,"Boiler, Tank, and Shipping Container Manufacturing"
664,33241,Power Boiler and Heat Exchanger Manufacturing
665,332410,Power Boiler and Heat Exchanger Manufacturing
666,33242,Metal Tank (Heavy Gauge) Manufacturing
667,332420,Metal Tank (Heavy Gauge) Manufacturing
668,33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing"
669,332431,Metal Can Manufacturing
670,332439,Other Metal Container Manufacturing
671,3325,Hardware Manufacturing
672,33251,Hardware Manufacturing
