property id,tenant id,customer id,total owed,0 to 30,31 to 60,61 to 90,over ninety owed,first day of month,database id
919,302,29114.0,14566.82,306,0,2235,12025.34,2021-12-01,1
919,302,29114.0,16254.41,16254,0,0,0.0,2022-03-01,1
1063,341,28218.0,-9334.08,-9334,0,0,0.0,2022-03-01,1
1101,342,28359.0,3021.91,0,0,0,3021.91,2021-12-01,1
1101,342,28359.0,832.32,832,0,0,0.0,2022-03-01,1
992,352,26950.0,-3552.75,-3553,0,0,0.0,2021-05-01,1
992,352,26950.0,-3552.75,-3553,0,0,0.0,2021-06-01,1
992,352,26950.0,-3552.75,0,0,0,-3552.75,2021-12-01,1
992,353,27018.0,-1646.02,-1646,0,0,0.0,2020-12-01,1
992,353,27018.0,6470.75,5701,770,0,0.0,2021-05-01,1
992,353,27018.0,13634.28,6080,770,770,6014.1,2021-06-01,1
992,353,27018.0,1149.43,1149,0,0,0.0,2021-07-01,1
992,353,27018.0,1149.43,1149,0,0,0.0,2021-08-01,1
992,353,27018.0,46145.22,8122,7743,1529,28751.99,2021-12-01,1
992,354,28202.0,-2345.33,-2345,0,0,0.0,2020-12-01,1
992,354,28202.0,-338.33,-338,0,0,0.0,2021-05-01,1
992,354,28202.0,-338.33,-338,0,0,0.0,2021-06-01,1
992,355,28862.0,-2301.51,-2302,0,0,0.0,2021-05-01,1
992,355,28862.0,-2301.51,-2302,0,0,0.0,2021-06-01,1
992,355,28862.0,-2301.51,0,0,0,-2301.51,2021-12-01,1
992,355,28862.0,-888.0,-888,0,0,0.0,2022-03-01,1
992,358,29098.0,-5199.5,-5200,0,0,0.0,2021-05-01,1
992,358,29098.0,-4301.33,-4126,0,0,-175.51,2021-06-01,1
992,358,29098.0,-7658.82,-7659,0,0,0.0,2022-03-01,1
992,359,29241.0,-5123.57,-5124,0,0,0.0,2021-05-01,1
992,359,29241.0,-5123.57,-5124,0,0,0.0,2021-06-01,1
992,359,29241.0,-1818.88,-1819,0,0,0.0,2022-03-01,1
994,363,26935.0,518.54,212,0,0,306.17,2021-05-01,1
994,363,26935.0,518.53,212,0,0,306.16,2021-06-01,1
994,364,27010.0,108.41,108,0,0,0.0,2021-04-01,1
994,364,27010.0,108.41,0,0,108,0.0,2021-05-01,1
993,365,26964.0,22.43,22,0,0,0.0,2021-05-01,1
993,365,26964.0,22.43,22,0,0,0.0,2021-06-01,1
994,366,28086.0,-272.45,-272,0,0,0.0,2020-12-01,1
994,366,28086.0,479.95,480,0,0,0.0,2021-05-01,1
994,366,28086.0,145.21,145,0,0,0.0,2021-06-01,1
994,366,28086.0,310.33,310,0,0,0.0,2021-07-01,1
994,366,28086.0,856.6,857,0,0,0.0,2021-12-01,1
994,366,28086.0,268.91,269,0,0,0.0,2022-03-01,1
993,368,28383.0,-14.56,-15,0,0,0.0,2021-05-01,1
993,368,28383.0,2866.59,2867,0,0,0.0,2021-07-01,1
993,368,28383.0,2866.59,2867,0,0,0.0,2021-08-01,1
994,369,28196.0,145.86,146,0,0,0.0,2021-05-01,1
993,370,28066.0,0.1,0,0,0,0.0,2021-04-01,1
993,370,28066.0,-19.94,-20,0,0,0.0,2021-05-01,1
993,370,28066.0,-19.94,-20,0,0,0.0,2021-06-01,1
993,371,28097.0,-1346.48,-1346,0,0,0.0,2021-05-01,1
993,372,28900.0,-10.35,-10,0,0,0.0,2021-05-01,1
993,372,28900.0,-10.35,-10,0,0,0.0,2021-06-01,1
993,372,28900.0,-10.35,0,0,-10,0.0,2021-07-01,1
993,373,26903.0,32.79,33,0,0,0.0,2021-05-01,1
993,374,28983.0,-8.15,-8,0,0,0.0,2021-05-01,1
993,374,28983.0,-8.15,-8,0,0,0.0,2021-06-01,1
995,377,28427.0,-903.87,-904,0,0,0.0,2021-05-01,1
995,377,28427.0,-903.45,-904,0,0,0.42,2021-06-01,1
995,377,28427.0,-903.45,0,0,-904,0.42,2021-07-01,1
995,377,28427.0,-903.45,0,0,0,-903.45,2021-12-01,1
995,377,28427.0,-6981.98,-6982,0,0,0.0,2022-03-01,1
